,RATING,CUT_COMMENT
0,2.0,480p 画质 不高 黑白 y
1,1.0,毫无 看点 黑白 画质 一个 男人 孤独 的 心理 情景 历程 疯疯癫癫 没有 任何 恐怖 的 成分 这 应该 是 剧情片 吧
2,3.0,上吊 那裡 超 好笑 可惜 最後報 告近況 的 旁白 大 扣分
5,4.0,那些 不同 人们 的 生活 状态 真实 且 残酷 描述 这 类人 生活 的 片子 多 了 有点 不太敢 去 德国 了 生怕 那里 的 人 心底 里 都 有点 歇斯底里 觉得 这部 片子 是 我 眼中 的 欧洲 手法 和 好莱坞 手法 的 结合 故事 的 处理 很 欧洲 可是 一些 关键 的 镜头 处理 就 很 好莱坞 可惜 不如 有些 相似 类型 的 最后 一次 心动 给 我 的 震撼 大
6,4.0,生活 用 最 残酷 的 方式 让 你 笑笑 得 哭 出来
7,3.0,连 这个 竟然 都 看 了
8,3.0,我 不 知道 那 时候 为什么 看 了 这么 多 香港 口水 片
9,4.0,小姐 你 的 熊掉 了   小姐 你 的 熊掉 了   小姐 你 的 熊掉 了   我 发现 我建 条目 上瘾 了
10,5.0,全职 主妇 侦探 不是 强盗
11,5.0,哈哈哈哈 哈哈哈 师父 果然 威武
13,2.0,哈哈哈 钱小豪 还 弄 得 长发 为了 更 像 陈浩南 吗
14,1.0,这 拍 的 是 什么 垃圾 啊 我 草
15,4.0,大爱
16,1.0,真是太 缺乏 诚意 了 负 五星
17,3.0,原来 你 咬 我 啊 这个 段子 是 在 这本 电影 里 出现 的 呀
18,5.0,这个 好玩
19,5.0,哈哈哈 哈哈 好带 喜感 的 师傅
20,5.0,从小 就 这 臭 脾气
21,5.0,小姐 你 的 熊掉 了
22,4.0,初恋
23,5.0,主妇 很 威武
25,2.0,同样 是 古惑仔 肿 么 可以 那么 烂 呢
26,1.0,打着 古惑仔 的 名头 好歹 请个 古惑仔 来 客串 呀
27,4.0,没 看过 无 童年
29,5.0,小姐 你 的 熊掉 了
30,5.0,小姐 你 的 熊掉 了 神 啊
31,4.0,"那个 师傅 的 初恋 太 可爱 了 
 还有 小 爱德 和 阿尔 方司"
32,5.0,几个 sp 中 最 好看 的
33,5.0,小姐 你 的 熊掉 了
34,5.0,主妇 桑 汝辈 还是 内 么 具有 喜感 TAT
35,4.0,你 知道 我 大哥 是 谁 吗   我 大哥 是 陈浩南
36,3.0,小时候 的 陈浩南 山鸡 包皮 大飞 乌鸦 坤哥
37,3.0,喜欢 老港 剧中 的 美女 和 帅哥
38,3.0,以前 超级 喜欢 跟 弟弟 一起 看
39,3.0,
40,1.0,1
41,5.0,还 可以
42,4.0,漫画 中 一笔带过 的 部分 稍微 衍生 的 作品
43,5.0,为 最后 的 小 故事 多 给 一颗 星
44,5.0,小姐 你 的 熊掉 了
45,5.0,丧心病狂
46,5.0,fa 打 瓶子 小人 的 时候   师父 怎么 没 上
47,4.0,补 mark
48,1.0,这 电影 竟然 是 troma 的
49,1.0,一个个 丑得 像 鞋底 子 似的 还 拍 你 妈 逼 啊
50,2.0,没劲 啊 没劲 现在 2017 年 回过头来   竟然 发现   花千骨里 的 徐海 乔
51,3.0,"这么 说 你 一定 要 等 她 了 
 嗯 
 有 多 坚定 
 像 你 对 我 那样"
52,3.0,男女 猪脚 演技 还 可以 再假 一点 虽然 我 很萌 这种 剧情 的 电影 但是 实在 了 拍摄 效果 倒 还 可以
53,3.0,第一个 镜头 居然 以为 小 男主是 女孩 真够 温柔 清秀 的
54,1.0,这是 实习生 的 作品 吗 忒 难看 了
55,1.0,看 完蛋 碎 了
56,2.0,略萌 这种 小 清新 的 电影     但 就 电影 层面 而言   有些 差 了   台词 更 受不了
57,2.0,同爷 异奶 的 终极 狗血 剧情 原来 还 真 有 啊
58,2.0,20130501 那 生疼 的 大巴 归途 那 打发 时间 的 电影 再 无聊 的 电影 都 会 有 归处 因为 你 别无选择 ps 感觉 像 话剧 的 电影 可惜 太 硬梆梆 了
59,1.0,同样 看 五分钟 就弃 了
60,4.0,好 文艺 除了 女主 都 很 美 特别 是 我 乔
61,2.0,我 还是 觉得 叫许 垚 比较 有 气质 前半段 怎么 讲话 像 朗诵 呢 我 还是 喜欢 他 笑 的 样子 一如往昔
62,4.0,不错呀 喜欢 那个 台湾 女孩
63,3.0,刘姝含
64,4.0,跟 同 题材 的 电影 比差 的 太远 我 看 的 过程 中 完全 入 不了 戏剧 情 对于 老人 经历 的 处理 比较 容易接受 四星 中一星 给 柳红 一星 给 中国 的 古典 诗词 一星 给 岁月 变迁 中 始终不变 的 爱情 一星 给 我们 河南 第一次 看到 以 新郑 为 背景 的 电影 故事 此种 题材 还是 偏爱 追爱 就是 因为 背景 是 新郑 才 会 看 的
65,2.0,劇本 莫名 喜感   棄之
66,2.0,两星 给 露白 此时 的 徐海 乔 演技 应该 还 有些 青涩 小 清新 电影 拍 得 如此 平淡 剧情 毫无 惊喜 女主人 设 很 不 讨好 很作 很 无理取闹
67,1.0,只 看前 五分钟 一个 占 小便宜 还 装傻 扮 受害者 的 女孩儿 真的 可以 当 纯爱 女主角 么 导演 你 脑子 没坏 吧
68,1.0,看到 14 分钟 就 猜中 了 之后 80 的 剧情 导演 没 文化 装 文艺 编剧 老套 脑残 剧情 弱智 狗血 男女 猪脚 做作 浮夸 又 一部 烂片 PS 爱吐槽 的 小盆友 注意 本片 槽 点 非常 充实
69,3.0,剧情 还 行     但 整个 电影 看 下来 还是 一般
70,3.0,类似 电锯 惊魂
71,4.0,不错 d
72,2.0,差不多
73,3.0,还行 已 收录
74,1.0,海报 确实 很 牛 B
75,1.0,不死 之身 牛 我 就是 好奇 炸碎 成拼 都 拼 不 起来 的 他 还 怎么 活好 吧 其实 妖舟 回答 过 这个 问题 他 的 猎人 同人里 那位 就是 按 分子 形式 重建 躯体 的
76,1.0,已有
77,5.0,师父 的 故事 另 一个 炼金术师 的 传奇
78,5.0,很 搞笑 啊
79,5.0,小姐   你 的 熊 是 你 的 熊
80,5.0,师父 本身 就是 一个 牛 逼 的 存在 好 么 各 方面
81,5.0,第一篇 还是 大河 剧 画风 第二篇 忽然 就 变成 了 少女 漫和师匠 比 起来 爱德 真是 弱 啊
82,4.0,小姐 你 的 熊掉 了
83,5.0,亮点 全在 最后 啊
84,5.0,小姐 你 的 熊掉 了
85,4.0,910 彻底 坏掉 的 一集 片尾 还有 更 坏掉 的 彩蛋 片头 的 字幕 明显 是 恶搞 70 年代 的 老电影
86,5.0,萌死 啦
87,5.0,笑 死 了   把 熊过 肩 摔 的 女人 跟 举起 钢琴 的 女人 有 什么 本质 不同 么
88,5.0,这太能 搞 了
89,5.0,笑 死 了 XDDDD   这样 一看 师匠 和 ED 好像 啊 w
90,4.0,一点 也 不好 笑
91,5.0,小姐 你 的 熊掉 了
92,4.0,小姐 你 的 熊掉 了
93,4.0,搞笑 为主
94,5.0,小姐 你 的 熊掉 了
95,5.0,初恋 的 故事 很 有 爱 啊啊啊 啊啊啊
96,5.0,笑 死 了
97,5.0,怎么 打不开
98,3.0,小 的 时候 完全 不 爱看 太 暴力 太 黑社会 了
99,5.0,大一 寒假 的 考试 周
100,2.0,钱小豪 的 蛊惑
101,4.0,伴随 着 童年 的 长大 那 幼小 的 心灵 倍 有 感慨
102,5.0,究竟 有 多 喜欢 这 系列 的 古惑仔 呢
104,3.0,山鸡 帅
105,2.0,那些 年 这 类片 看太多 了 只 记得 挂 着 古惑仔 的 名头 主演 也 不是 郑伊健 是 钱小豪
106,1.0,不 好看 没意思
109,5.0,经典 片 现在 拍 不了 了
110,5.0,那 段时间 补得 电影 看看 还是 不错 的
111,4.0,好
112,1.0,哈哈哈 哈哈哈 哇 哦
113,2.0,剧情 创意 很 好 但是 为 神马 拍 出来 的 就 那么 怪 呢
114,1.0,"这片 
 我 不 懂 他们 是 经费 只有 1000 块钱 还是 咋 的 还 借用 人家 大学 场地 完 了 还 不 给 人家 还有 火车站 那 块 场地 后面 XX 宾馆 几个 大字 俺 都 康得 清清楚楚 了 嗷 
 人 设有 问题 女主刚 开片 是 个 欠 透 的 公主 病女 然后 这个 bitch 刚到 男主 家住 一天 第二天 早上 起床 就 会 和 气 的 说话 了 难道 男主 晚上 夜访 给 她 整 舒服 了 不痒 了 公主 病 就 好 了 还有 男主是 个 比 吴京 的 圣母 我 真的 没见 过 这个 等级 的 瞎子 女主 这么 丑 也 把 他 眼睛 吸 得 死死的 也许 是因为 丫 25 了 还是 个 处 男 着急 透 破处 
 其实 从 女主一 开始 找 爷爷 到 男主 奶奶 出场 那块 我 就 知道 这 没 跑 了 这 老头 老太太 肯定 是 一家 的 男主透 了 半天 发现 炮友 是 自己 妹妹 相当于 以后 家里 还 能 有 个 稳定 的 输出 kp 对象 了 呗 
 实在 一言难尽 因为 俺 真的 找 不 出来 它 哪怕 一丁点 好 膝盖 都 跪 烂 了 0 分"
115,1.0,那女 的 演技 实在 太差 了 男 的 还 算 养眼 可是 貌似 全称 就是 配音 的 啊 救命 啊 当初 以为 那 对 老人家 的 爱情 有 多 吸引 谁 不 知道 就是 两三句 话 就 概括 了 嘛 为啥 我会 看 这么 一出 东西 啊
116,4.0,A   life   with   you   我们 要 经历 过 多长 的 岁月 和 风雨 才能 明白 什么 是 lifeliedie
